filename	timestamp
001.jpeg	2019-09-06T11:06:05-04:00
002.jpeg	2019-10-11T11:05:12-04:00
003.jpeg	2019-10-13T18:05:22-04:00
004.jpeg	2019-10-16T18:11:57-04:00
005.jpeg	2019-10-29T17:09:27-04:00
006.jpeg	2019-10-30T11:10:45-04:00
007.jpeg	2019-10-31T17:39:51-04:00
008.jpeg	2019-11-21T18:17:07-05:00
009.jpeg	2019-11-22T11:11:56-05:00
010.jpeg	2019-11-26T17:05:21-05:00
011.jpeg	2020-01-14T17:32:50-05:00
012.jpeg	2020-01-15T17:32:17-05:00
013.jpeg	2020-01-16T18:30:09-05:00
014.jpeg	2020-01-17T17:41:21-05:00
015.jpeg	2020-01-19T17:22:51-05:00
016.jpeg	2020-01-22T08:54:06-05:00
017.jpeg	2020-01-23T17:31:38-05:00
018.jpeg	2020-01-24T12:10:02-05:00
019.jpeg	2020-01-27T17:27:40-05:00
020.jpeg	2020-01-28T17:25:44-05:00
021.jpeg	2020-01-29T17:44:09-05:00
022.jpeg	2020-01-30T17:16:51-05:00
023.jpeg	2020-02-04T17:34:47-05:00
024.jpeg	2020-02-07T17:48:21-05:00
025.jpeg	2020-02-08T18:02:14-05:00
026.jpeg	2020-02-09T12:20:51-05:00
027.jpeg	2020-02-10T17:02:21-05:00
028.jpeg	2020-02-12T17:26:28-05:00
029.jpeg	2020-02-17T17:34:29-05:00
030.jpeg	2020-02-18T17:32:05-05:00
031.jpeg	2020-02-21T12:18:16-05:00
032.jpeg	2020-02-22T17:20:35-05:00
033.jpeg	2020-02-23T17:30:37-05:00
034.jpeg	2020-02-24T13:10:27-05:00
035.jpeg	2020-02-24T17:19:12-05:00
036.jpeg	2020-02-25T17:30:43-05:00
037.jpeg	2020-03-03T17:36:23-05:00
038.jpeg	2020-03-06T17:33:14-05:00
039.jpeg	2020-03-08T17:18:54-04:00
040.jpeg	2020-03-10T17:26:11-04:00
041.jpeg	2020-03-11T11:07:11-04:00
042.jpeg	2020-03-11T17:38:24-04:00
043.jpeg	2020-03-11T18:08:23-04:00
044.jpeg	2020-03-12T11:08:42-04:00
045.jpeg	2020-03-12T17:35:20-04:00
046.jpeg	2020-03-13T11:07:58-04:00
047.jpeg	2020-03-13T18:55:34-04:00
048.jpeg	2020-03-14T17:38:57-04:00
049.jpeg	2020-03-15T17:55:23-04:00
050.jpeg	2020-03-16T17:57:37-04:00
051.jpeg	2020-03-17T17:41:18-04:00
052.jpeg	2020-03-17T17:42:28-04:00
053.jpeg	2020-03-18T17:57:20-04:00
054.jpeg	2020-03-19T17:33:47-04:00
055.jpeg	2020-08-23T19:48:48-06:00
056.jpeg	2020-08-23T19:48:56-06:00
057.jpeg	2020-08-24T15:26:37-06:00
058.jpeg	2020-08-25T10:52:24-06:00
059.jpeg	2020-08-26T10:45:18-06:00
060.jpeg	2020-08-27T10:16:51-06:00
061.jpeg	2020-08-28T11:59:21-06:00
062.jpeg	2020-08-28T18:01:47-06:00
063.jpeg	2020-08-28T18:18:42-06:00
064.jpeg	2020-08-31T09:30:45-06:00
065.jpeg	2020-09-01T11:28:05-06:00
066.jpeg	2020-09-02T08:59:33-06:00
067.jpeg	2020-09-02T18:15:53-06:00
068.jpeg	2020-09-03T15:57:38-06:00
069.jpeg	2020-09-04T11:15:13-06:00
070.jpeg	2020-09-04T18:19:45-06:00
071.jpeg	2020-09-05T10:54:58-06:00
072.jpeg	2020-09-05T16:48:42-06:00
073.jpeg	2020-09-06T15:26:50-06:00
074.jpeg	2020-09-07T13:20:40-04:00
075.jpeg	2020-09-07T20:24:15-04:00
076.jpeg	2020-09-08T15:10:57-04:00
077.jpeg	2020-09-09T10:49:31-04:00
078.jpeg	2020-09-09T18:02:15-04:00
079.jpeg	2020-09-10T15:17:51-04:00
080.jpeg	2020-09-11T11:07:43-04:00
081.jpeg	2020-09-11T18:01:36-04:00
082.jpeg	2020-09-12T12:40:34-04:00
083.jpeg	2020-09-12T18:22:50-04:00
084.jpeg	2020-09-13T12:35:18-04:00
085.jpeg	2020-09-13T18:29:46-04:00
086.jpeg	2020-09-14T10:53:27-04:00
087.jpeg	2020-09-14T20:05:29-04:00
088.jpeg	2020-09-15T15:05:31-04:00
089.jpeg	2020-09-16T10:53:04-04:00
090.jpeg	2020-09-16T20:18:22-04:00
091.jpeg	2020-09-17T15:11:38-04:00
092.jpeg	2020-09-17T19:42:22-04:00
093.jpeg	2020-09-18T11:00:11-04:00
094.jpeg	2020-09-18T20:11:44-04:00
095.jpeg	2020-09-19T11:59:28-04:00
096.jpeg	2020-09-20T12:17:28-04:00
097.jpeg	2020-09-20T20:12:31-04:00
098.jpeg	2020-09-21T10:58:20-04:00
099.jpeg	2020-09-22T15:16:13-04:00
100.jpeg	2020-09-23T10:59:54-04:00
101.jpeg	2020-09-23T18:20:17-04:00
102.jpeg	2020-09-24T15:27:01-04:00
103.jpeg	2020-09-24T19:59:51-04:00
104.jpeg	2020-09-25T10:59:09-04:00
105.jpeg	2020-09-25T20:24:47-04:00
106.jpeg	2020-09-26T13:46:07-04:00
107.jpeg	2020-09-26T20:37:27-04:00
108.jpeg	2020-09-27T13:00:08-04:00
109.jpeg	2020-09-27T20:23:23-04:00
110.jpeg	2020-09-28T10:51:42-04:00
111.jpeg	2020-09-28T18:19:15-04:00
112.jpeg	2020-09-29T15:15:02-04:00
113.jpeg	2020-09-30T10:56:17-04:00
114.jpeg	2020-09-30T20:17:03-04:00
115.jpeg	2020-10-01T15:20:22-04:00
116.jpeg	2020-10-01T19:59:24-04:00
117.jpeg	2020-10-02T13:23:37-04:00
118.jpeg	2020-10-02T20:27:29-04:00
119.jpeg	2020-10-03T12:58:38-04:00
120.jpeg	2020-10-05T10:56:53-04:00
121.jpeg	2020-10-06T00:10:38-04:00
122.jpeg	2020-10-06T15:11:21-04:00
123.jpeg	2020-10-07T11:13:34-04:00
124.jpeg	2020-10-08T02:39:19-04:00
125.jpeg	2020-10-08T15:16:48-04:00
126.jpeg	2020-10-08T19:59:05-04:00
127.jpeg	2020-10-09T11:06:58-04:00
128.jpeg	2020-10-09T20:28:33-04:00
129.jpeg	2020-10-10T20:40:54-04:00
130.jpeg	2020-10-11T18:53:41-04:00
131.jpeg	2020-10-12T12:41:49-04:00
132.jpeg	2020-10-12T20:12:30-04:00
133.jpeg	2020-10-13T15:12:50-04:00
134.jpeg	2020-10-14T14:41:31-04:00
135.jpeg	2020-10-14T20:20:37-04:00
136.jpeg	2020-10-15T15:14:25-04:00
137.jpeg	2020-10-16T13:46:10-04:00
138.jpeg	2020-10-16T19:23:26-04:00
139.jpeg	2020-10-17T13:00:12-04:00
140.jpeg	2020-10-17T19:58:41-04:00
141.jpeg	2020-10-18T12:58:04-04:00
142.jpeg	2020-10-18T20:40:30-04:00
143.jpeg	2020-10-19T14:14:28-04:00
144.jpeg	2020-10-19T23:11:07-04:00
145.jpeg	2020-10-20T15:13:33-04:00
146.jpeg	2020-10-21T11:02:58-04:00
147.jpeg	2020-10-22T13:11:42-04:00
148.jpeg	2020-10-22T19:59:46-04:00
149.jpeg	2020-10-23T20:52:27-04:00
150.jpeg	2020-10-24T13:39:24-04:00
151.jpeg	2020-10-25T12:39:48-04:00
152.jpeg	2020-10-26T10:51:52-04:00
153.jpeg	2020-10-26T18:20:15-04:00
154.jpeg	2020-10-27T15:16:25-04:00
155.jpeg	2020-10-28T11:04:37-04:00
156.jpeg	2020-10-29T13:29:26-04:00
157.jpeg	2020-10-29T20:01:11-04:00
158.jpeg	2020-10-30T13:30:42-04:00
159.jpeg	2020-10-30T19:40:51-04:00
160.jpeg	2020-10-31T13:00:42-04:00
161.jpeg	2020-10-31T20:20:03-04:00
162.jpeg	2020-11-01T12:57:31-05:00
163.jpeg	2020-11-01T19:54:35-05:00
164.jpeg	2020-11-02T11:10:22-05:00
165.jpeg	2020-11-02T20:05:29-05:00
166.jpeg	2020-11-03T15:11:29-05:00
167.jpeg	2020-11-04T15:06:46-05:00
168.jpeg	2020-11-04T20:19:27-05:00
169.jpeg	2020-11-05T13:26:29-05:00
170.jpeg	2020-11-05T20:01:32-05:00
171.jpeg	2020-11-06T13:25:29-05:00
172.jpeg	2020-11-06T20:17:45-05:00
173.jpeg	2020-11-07T11:59:53-05:00
174.jpeg	2020-11-07T18:40:55-05:00
175.jpeg	2020-11-08T11:58:56-05:00
